id,nombreCliente,idCliente,egmailCliente
1,María Pérez,CLI001,maria.perez@gmail.com
2,Juan Rodríguez,CLI002,juan.rodriguez@gmail.com
3,Ana Gómez,CLI003,ana.gomez@gmail.com
4,Carlos López,CLI004,carlos.lopez@gmail.com
5,Laura Ramírez,CLI005,laura.ramirez@gmail.com
6,Pedro Martínez,CLI006,pedro.martinez@gmail.com
7,Lucía Fernández,CLI007,lucia.fernandez@gmail.com
8,Andrés Torres,CLI008,andres.torres@gmail.com
9,Sofía Castillo,CLI009,sofia.castillo@gmail.com
10,Diego Álvarez,CLI010,diego.alvarez@gmail.com
11,Elena Morales,CLI011,elena.morales@gmail.com
12,Ricardo Silva,CLI012,ricardo.silva@gmail.com
13,Valentina Cruz,CLI013,valentina.cruz@gmail.com
14,Samuel Díaz,CLI014,samuel.diaz@gmail.com
15,Isabel Núñez,CLI015,isabel.nunez@gmail.com

